"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0.451999262944537,0.00651061850875833,0.438939844780515,0.000209269739595654,0,0,0.00729789653677174,9.09457054138679e-05,0,0.0100725463157264,0.0128116377251055,0.0170147226466807
"2",0.00580431177446103,0.386141683459929,0.00711678272339642,0.0584044547158481,0.0061100273574571,0.000813021688917055,0.117167238007969,0.172874793748132,0.0220140213620522,0.00900333753022763,0.00232052494564317,0.0133886342137816
"3",0.106089920766538,0.000930088358394047,0.374367311880733,0.0164140265317635,0,0,0.000136358305993493,9.09457054138679e-05,0,0.143753622319484,0.00164776771350292,0.156516044531762
"4",0.116823290952644,0.058285537126027,0.0110944098489729,0.739613851837024,0.015354153119746,0.0135878855599009,0.0868929669112935,0.00672998220062623,0.0289522613672035,0.0118312448787897,0.0306445794292289,0.0742074753207694
"5",0.0443615257048093,0.0322430630909936,0.00942769205599354,0.00364857241642858,0.579532872884484,0.0750606639260192,0.0382894123229728,0.0574776858215645,0.121869944220414,0.039980414493275,0.062537172274602,0.0515413907686337
"6",0.0152939008660402,0.000465044179197024,0,0,0.0326297721774075,0.607068702417385,0.00894510487317314,0.00159804596655796,0,0.0769330695285489,0.0129383890876827,0.0435494433529797
"7",0.124378109452736,0.283211905130987,0.0893176682311318,0.121822284497662,0.335196217992654,0.28858100614561,0.633517962479649,0.0882563109823435,0.558455879393749,0.396196814357376,0.211314021625732,0.21726212132237
"8",0.0893679749401142,0.185397612773213,0.0581919690788061,0.05144396120321,0.0217629449980375,0.0108819826055052,0.0958626162795454,0.560043653938599,0.0113812892891926,0.198513100305774,0.105661885865273,0.196330252977273
"9",0.0458817025981205,0.0468144473725004,0.011544321400452,0.00844357905846814,0.00941401147021435,0.00400673765666303,0.0118904442826326,0.112837635931349,0.257326604367389,0.1137158502708,0.560124021333229,0.23018991486575
"10",0.380182888638357,0.32811353070712,0.521362491033823,0.359050625227631,0.438276809864322,0.591394911697849,0.459019958844294,0.170130902994218,0.328794462120953,0.592271911678991,0.0912559230874712,0.22566149871968
"11",0.584930477264186,0.545632493271348,0.436170017104707,0.589292218040549,0.527228725675927,0.373393512851897,0.499690495708765,0.569589235431937,0.606452495808957,0.388838729585481,0.860861152164308,0.468506835148061
"12",0.0348866340974571,0.126253976021532,0.0424674918614703,0.0516571567318198,0.034494464459751,0.0352115754502535,0.0412895454469409,0.260279861573845,0.0647530420700902,0.0188893587355284,0.0478829247482212,0.305831666132259
